Model,Standard_MAE,Standard_RMSE,Standard_R2,Standard_Train_R2,Unseen_GPU_MAE,Unseen_GPU_RMSE,Unseen_GPU_R2,Unseen_CPU_MAE,Unseen_CPU_RMSE,Unseen_CPU_R2,Unseen_Game_MAE,Unseen_Game_RMSE,Unseen_Game_R2
Dummy (Mean Baseline),42.15801469888317,53.88163591704613,-8.378586462853832e-06,0.0,41.34344824412757,53.19611261509235,-0.000981455471469772,42.207194015378114,54.38942397003208,-0.002419728643113128,31.857912351473775,38.38593302783499,-0.4092173491437685
RandomForestRegressor,5.046865851404941,7.142712964184287,0.9824268956159882,0.9869607510502071,12.068077941174684,18.894132789677748,0.8737241894829084,4.377454425777926,6.3928256284341725,0.9861513830069444,21.988937854459227,27.972765984099567,0.25165027580337684
HistGradientBoostingRegressor,1.6866812019326858,2.315921779463446,0.9981525620243575,0.9984621463528829,4.752037248084304,6.008939638112095,0.9872279114471783,2.4722525569623572,3.1214502665703807,0.9966983310428885,16.57967627003167,20.454982979078494,0.5998415210144692
GradientBoostingRegressor,1.9288711521957922,2.6454954632325958,0.9975893390383926,0.9983823245220487,5.252345010203356,6.806182346098844,0.9836139830942123,2.338602350543589,2.9266737340121574,0.9970975195265394,20.96056721793947,27.61287832781925,0.27078240803893583
